game_title,platform,avg_price_usd,price_record_count
wall2wall,PS,1.99,2
clid the snail,PS,1.99,2
cliff rush 3d,PS,1.99,2
jetpack joyride deluxe,PS,1.99,2
the letter: classic edition,PS,1.99,2
detail detective,PS,1.99,2
knight's retreat,PS,1.99,2
ramp car racing,PS,1.99,2
vampire slayer: the resurrection,PS,1.99,2
bunny reversi,PS,1.99,2
round invaders rush,PS,1.99,2
moonlit embrace,PS,1.99,3
invasion of space 2,PS,1.99,2
stroke the rabbit,PS,1.99,2
shmoupity shmoup,PS,1.99,3
plumber puzzles,PS,1.99,2
demon's tier+,PS,1.99,2
bounce rescue!,PS,1.99,2
the cat and the coup,PS,1.99,2
tank frenzy,PS,1.99,2
ice station z,PS,1.99,2
dashing orange,PS,1.99,2
power the light,PS,1.99,2
motocross ramp madness,PS,1.99,3
robbery rush,PS,1.99,3
your average old school shmup,PS,1.99,3
knobswitch,PS,1.99,2
heavy fire: red shadow,PS,1.99,2
little legs,PS,1.99,2
skydivers paradise,PS,1.99,2
stroke the spider,PS,1.99,2
cazzarion: forest defense,PS,1.99,2
don't fall: aleph,PS,1.99,3
type:rider,PS,1.99,2
cazzarion: car chase,PS,1.99,2
the helper,PS,1.99,2
hearthstorm,PS,1.99,2
robby's adventure,PS,1.99,3
color slayer,PS,1.99,2
dream bakery,PS,1.99,2
flockers,PS,1.99,2
cazzarion: gunslinger,PS,1.99,2
poopy time,PS,1.99,2
the button be mizzle,PS,1.99,2
plumber hero,PS,1.99,2
super prehistoric world adventures,PS,1.99,2
farm champions: harvest battle,PS,1.99,3
no thing,PS,1.99,2
boom jump,PS,1.99,2
bubble riders,PS,1.99,2
invasion of space,PS,1.99,2
round invaders rush 2,PS,1.99,2
anna's quest,PS,1.99,2
energy balance,PS,1.99,4
pulzar,PS,1.99,2
cazzarion: star collector,PS,1.99,2
exit slum 11,PS,1.99,2
will die alone,PS,1.99,2
arcade game series: galaga,PS,1.99,2
neon hell,PS,1.99,3
slicy flips,PS,1.99,2
wild seas,PS,1.99,2
battleminer giants,PS,1.99,2
stroke the hedgehog,PS,1.99,2
shiness the lightning kingdom,PS,1.99,2
naught,PS,1.99,2
astro rangers,PS,1.99,2
biolab wars,PS,1.99,2
light snake,PS,1.99,2
cazzarion: ufo kidnapping,PS,1.99,2
ziggy,PS,1.99,2
intruders: hide and seek,PS,1.99,2
energy cycle,PS,1.99,4
nun attack,PS,1.99,2
pixel hunter,PS,1.99,2
pocket soccer,PS,1.99,2
sokomage,PS,1.99,2
wild west tycoon empire,PS,1.99,45
colorama cubes,PS,1.99,2
iron danger,PS,1.99,2
word quest,PS,1.99,2
men's room mayhem,PS,1.99,2
xposed reloaded,PS,1.99,2
stroke the fish,PS,1.99,2
football 2 - breakthrough gaming arcade,PS,1.99,2
garten of banban,PS,1.99,2
nba 2k22,PS,1.99,45
table ice hockey,PS,1.99,2
shakes on a plane,PS,1.99,2
